Instance,iteration,time,budget,Obj,interdiction
4,18,574.3468158,20,201,[   0   38   46   58  182  194  786 1610 1685 1707 1739 2545 2666 2698 2829 2900 2901 2902 2903 2904]
4,19,1142.75341,20,201,[   0   38   46   58  182  194  786 1610 1685 1707 1739 2545 2666 2698 2829 2900 2901 2902 2903 2904]
4,20,2287.610111,20,201,[   0   38   46   58  182  786 1355 1455 1491 1610 1636 1685 1707 1739 2545 2666 2698 2760 2899 2900]
4,21,2306.032494,20,201,[   0   38   46   58  182  622  786 1355 1455 1491 1610 1636 1685 1707 1739 2545 2666 2698 2758 2760]
5,1,0.396092892,2,195,[768 834]
5,2,0.921894789,2,166,[ 92 768]
5,3,1.442208052,2,166,[ 768 2941]
5,4,1.963052034,2,157,[0 1]
5,5,3.083915949,2,152,[   0 2941]
5,6,3.610668898,2,151,[   0 2941]
5,7,5.518940926,2,141.125,[   0 2941]
5,8,8.962765932,2,141.125,[   0 2941]
5,9,15.329041,2,138.84375,[   0 2941]
5,10,27.655756,2,137.40625,[   0 2941]
5,11,52.06641793,2,136.1523438,[   0 2941]
5,12,100.674886,2,134.9824219,[   0 2941]
5,13,196.669791,2,133.5961914,[   0 2941]
5,14,384.4905119,2,132.112793,[   0 2941]
5,15,751.588284,2,130.8837891,[0 1]
5,16,761.9894969,2,130.8111572,[0 1]
5,17,1504.283749,2,130.4880981,[0 1]
5,18,2996.806847,2,130.2391357,[0 1]
5,1,0.435834885,20,269,[   0    1    2    3    4    5    6    7    8    9   10   11   12   13   39  768  834  971 1008 1217]
5,2,0.992980003,20,269,[   0    1    2    3    4    5    6    7    8    9   33   39   92  768  834  971 1008 1147 1217 2941]
5,3,1.556973934,20,200,[   0    1    2    3    4    5    6    7    8   33   39   79   92  768  834  971 1008 1147 1217 2941]
5,4,2.608460903,20,200,[   0    1    2    3    4    5    6    7    8   33   39   79   92  768  834  971 1008 1147 1217 2941]
5,5,4.27291894,20,200,[   0    1    2    3    4    5    6    7    8   33   39   79   92  768  834  971 1008 1147 1217 2941]
5,6,7.198863029,20,200,[   0    1    2    3    4    5    6    7    8   33   39   79   92  768  834  971 1008 1147 1217 2941]
5,7,12.65996981,20,200,[   0    1    2    3    4    5    6    7    8   33   39   79   92  768  834  971 1008 1147 1217 2941]
5,8,22.91624308,20,200,[   0    1    2    3    4    5    6    7    8   33   39   79   92  768  834  971 1008 1147 1217 2941]
5,9,43.30441093,20,200,[   0    1    2    3    4   33   37   39   79   92  380  768  834  971 1008 1147 1217 2182 2436 2941]
5,10,44.33797383,20,200,[   0    1   33   37   39   79   92  380  669  692  768  834  971 1008 1848 2436 2930 2931 2940 2941]
5,11,45.38631892,20,200,[   0    1   33   37   79   92  380  669  692  768  834 1008 1010 1147 1480 2182 2436 2929 2930 2941]
5,12,46.43998694,20,200,[   0    1    2   33   37   39   79   92  380  669  692  768  834  971 1008 1147 1480 2182 2436 2941]
5,13,87.08339596,20,199.9414063,[   0    1   33   37   39   79   92  311  380  692  768  834  969 1008 1147 1480 1539 2182 2436 2941]
5,14,168.2057838,20,199.8999023,[   0    1    2   33   37   39   79   92  380  768  834  969  971  986 1008 1147 1848 2182 2436 2941]
5,15,170.764811,20,199.8999023,[   0    1   33   37   39   79   92  311  380  661  692  768  834  969  986 1008 1147 2182 2436 2941]
5,16,334.003566,20,199.7949219,[   0    1    2   33   37   39   79  380  768  834  969  986 1008 1147 1480 1848 1938 2182 2436 2941]
5,17,662.080905,20,199.6523438,[   0    1   33   39   79   92  380  692  768  834  969  971  986 1008 1147 1615 1938 2182 2436 2941]
5,18,1317.247929,20,199.5617676,[   0    1   33   37   39   57   79   92  380  768  834  969  971 1008 1147 1615 1806 1848 2883 2941]
5,19,1334.748691,20,199.5617676,[   0    1   33   37   39   57   79   92  768  834  969 1008 1147 1439 1615 1806 1848 2436 2883 2941]
5,20,2663.189104,20,199.3040771,[   0    1   33   37   39   79   92  692  768  834  969  971 1008 1147 1539 1615 1806 2436 2883 2941]
5,21,2700.38721,20,199.3040771,[   0    1   33   37   39   79   92  768  834  969  971 1008 1147 1439 1615 1806 1848 2436 2883 2941]
5,22,2737.71481,20,199.2999268,[   0    1   33   37   39   57   79   92  768  834  969  971 1008 1147 1186 1615 1806 1848 2436 2941]
5,23,2774.894867,20,199.2974854,[   0    1   33   37   39   79   92  768  834  969  971 1008 1010 1147 1615 1806 1848 2313 2436 2941]
5,24,2812.570925,20,199.2747803,[   0    1    2   33   37   39   79   92  768  834  969  971 1008 1147 1539 1806 1848 2436 2883 2941]
5,25,2850.009358,20,199.2747803,[   0    1   33   37   39   79   92  768  834  969  971 1008 1147 1480 1615 1806 1848 2436 2883 2941]
